,City,Temperature (F),Humidity (%),Cloud Coverage (%),Wind Speed (mph),Latitude,Longitude
475,Kapaa,83.16,74,90,4.7,22.08,-159.32
476,Mergen,27.79,84,23,13.15,49.18,125.22
477,Saint-Philippe,69.26,69,20,17.22,-21.36,55.77
478,Hithadhoo,82.42,75,16,14.38,-0.6,73.08
479,Nyurba,16.52,97,80,3.69,63.28,118.33
480,Eyrarbakki,37.67,80,75,16.11,63.86,-21.15
481,Lüderitz,60.64,70,0,21.59,-26.65,15.16
482,Hobart,54.39,81,75,4.7,-42.88,147.33
483,Karlskoga,51.24,93,100,5.82,59.33,14.52
484,Pánormos,61.48,82,40,3.36,35.42,24.69
485,Rome,60.26,82,90,10.29,43.21,-75.46
486,Ushuaia,53.6,46,75,12.75,-54.8,-68.3
487,Bluff,51.26,61,100,7.43,-46.6,168.33
488,Cabo San Lucas,89.76,52,5,7.52,22.89,-109.91
489,Portland,57.2,44,20,13.87,45.52,-122.68
490,Anadyr,37.96,80,75,11.18,64.75,177.48
491,Okhotsk,33.17,93,99,19.33,59.38,143.3
492,Durgapur,76.96,82,95,3.94,23.48,87.32
493,Jamestown,56.86,93,90,4.7,42.1,-79.24
494,Bengkulu,77.11,84,100,2.51,-3.8,102.27
495,Puerto Ayora,71.91,69,20,13.87,-0.74,-90.35
496,Longyearbyen,17.6,78,20,5.82,78.22,15.64
497,Cidreira,66.38,89,100,15.59,-30.18,-50.21
498,Kapaa,83.16,74,90,4.7,22.08,-159.32
499,Dutse,76.3,30,0,3.02,11.76,9.34
500,Buala,82.42,74,98,8.32,-8.14,159.59
501,Laguna,87.48,20,1,6.93,38.42,-121.42
502,Hermanus,55.0,90,0,7.92,-34.42,19.23
503,East London,65.37,80,2,13.89,-33.02,27.91
504,Ushuaia,53.6,46,75,12.75,-54.8,-68.3
505,Saint-Philippe,69.26,69,20,17.22,-21.36,55.77
506,Hobart,54.39,81,75,4.7,-42.88,147.33
507,Ushuaia,53.6,46,75,12.75,-54.8,-68.3
508,Comodoro Rivadavia,60.8,63,40,16.11,-45.87,-67.5
509,São Filipe,82.18,67,69,7.65,14.9,-24.5
510,Pacific Grove,69.82,60,1,5.82,36.62,-121.92
511,Mahibadhoo,81.61,80,51,12.3,3.78,72.97
512,Ushuaia,53.6,46,75,12.75,-54.8,-68.3
513,Mataura,57.2,47,97,2.93,-46.19,168.86
514,Adendorf,61.0,74,30,8.01,53.28,10.44
515,Rikitea,74.1,70,62,7.63,-23.12,-134.97
516,Sumbe,76.37,77,99,5.48,-11.21,13.84
517,Lüderitz,60.64,70,0,21.59,-26.65,15.16
518,Bengkulu,77.11,84,100,2.51,-3.8,102.27
519,Albany,67.21,82,22,5.01,42.6,-73.97
520,Kapaa,83.16,74,90,4.7,22.08,-159.32
521,Bluff,51.26,61,100,7.43,-46.6,168.33
522,Ushuaia,53.6,46,75,12.75,-54.8,-68.3
523,Husavik,30.2,86,85,5.82,66.04,-17.34
524,Severo-Kuril'sk,42.3,69,82,16.73,50.68,156.12
525,Marystown,54.0,100,83,1.41,47.17,-55.15
526,Pangnirtung,26.6,86,90,4.7,66.15,-65.71
527,Saint-Philippe,69.26,69,20,17.22,-21.36,55.77
528,Laas,44.87,100,5,3.13,46.62,10.7
529,Cape Town,57.56,87,0,17.22,-33.93,18.42
530,Genhe,16.63,89,0,4.83,50.78,121.52
531,Albany,67.21,82,22,5.01,42.6,-73.97
532,Vaini,75.2,73,90,10.29,-21.2,-175.2
533,Cape Town,57.56,87,0,17.22,-33.93,18.42
534,Bluff,51.26,61,100,7.43,-46.6,168.33
535,Bluff,51.26,61,100,7.43,-46.6,168.33
536,Adiaké,80.6,88,40,9.17,5.29,-3.3
537,Rikitea,74.1,70,62,7.63,-23.12,-134.97
538,Kruisfontein,55.13,79,0,5.19,-34.0,24.73
539,Atuona,77.83,70,0,16.2,-9.8,-139.03
540,Cape Town,57.56,87,0,17.22,-33.93,18.42
541,Shimoda,57.99,85,93,14.25,34.67,138.95
542,Kapaa,83.16,74,90,4.7,22.08,-159.32
543,Carnarvon,64.4,77,90,11.41,-24.87,113.63
544,Itarema,79.77,80,61,15.73,-2.92,-39.92
545,Thompson,30.2,54,90,6.93,55.74,-97.86
546,Cidreira,66.38,89,100,15.59,-30.18,-50.21
547,Jamestown,56.86,93,90,4.7,42.1,-79.24
548,Ushuaia,53.6,46,75,12.75,-54.8,-68.3
549,Blama,73.62,96,83,1.14,7.87,-11.34
550,Tasiilaq,30.2,86,100,3.36,65.61,-37.64
